Client_ID|Loan_Request|MTG_Due|Property_Value|Loan_Reason|Occupation|Years_At_Job|Derog_Report|DELQ_Line|Trade_Line|File_Age|Inquiry|Debt_Income_Ratio|CR_Score|Bad
ID#00001|$1,100|$25,860|$39,025|HomeImp|Other|10.5|0|0|9|94.4|1||388|1
ID#00002|$1,300|$70,053|$68,400|HomeImp|Other|7|0|2|14|121.8|0||307|1
ID#00003|$1,500|$13,500|$16,700|HomeImp|Other|4|0|0|10|149.5|1||414|1
ID#00004|$1,500||||||||||||412|1
ID#00005|$1,700|$97,800|$112,000|HomeImp|Office|3|0|0|14|93.3|0||411|0
ID#00006|$1,700|$30,548|$40,320|HomeImp|Other|9|0|0|8|101.5|1|37.1|383|1
ID#00007|$1,800|$48,649|$57,037|HomeImp|Other|5|3|2|17|77.1|1||143|1
ID#00008|$1,800|$28,502|$43,034|HomeImp|Other|11|0|0|8|88.8|0|36.9|392|1
ID#00009|$2,000|$32,700|$46,740|HomeImp|Other|3|0|2|12|216.9|1||333|1
ID#00010|$2,000||$62,250|HomeImp|Sales|16|0|0|13|115.8|0||510|1
ID#00011|$2,000|$22,608||||18|||||||412|1
ID#00012|$2,000|$20,627|$29,800|HomeImp|Office|11|0|1|9|122.5|1||346|1
ID#00013|$2,000|$45,000|$55,000|HomeImp|Other|3|0|0|25|86.1|2||396|1
ID#00014|$2,000|$64,536|$87,400||Mgr|2.5|0|0|24|147.1|0||477|0
ID#00015|$2,100|$71,000|$83,850|HomeImp|Other|8|0|1|16|123|0||368|1
ID#00016|$2,200|$24,280|$34,687|HomeImp|Other||0|1|8|300.9|0||432|1
ID#00017|$2,200|$90,957|$102,600|HomeImp|Mgr|7|2|6|22|122.9|1|||1
ID#00018|$2,200|$23,030||||19||||||3.7|403|1
ID#00019|$2,300|$28,192|$40,150|HomeImp|Other|4.5|0|0|16|54.6|1||383|1
ID#00020|$2,300|$102,370|$120,953|HomeImp|Office|2|0|0|13|91|0|31.6|448|0
ID#00021|$2,300|$37,626|$46,200|HomeImp|Other|3|0|1|14|122.3|1||353|1
ID#00022|$2,400|$50,000|$73,395|HomeImp|ProfExe|5|1|0|0||1||369|1
ID#00023|$2,400|$28,000|$40,800|HomeImp|Mgr|12|0|0|22|67.2|2||334|1
ID#00024|$2,400|$18,000||HomeImp|Mgr|22||2|10|121.7|0||252|1
ID#00025|$2,400||$17,180|HomeImp|Other||0|0|4|14.6|3||325|1
ID#00026|$2,400|$34,863|$47,471|HomeImp|Mgr|12|0|0|21|70.5|1|38.3|379|1
ID#00027|$2,400|$98,449|$117,195|HomeImp|Office|4|0|0|13|93.8|0|29.7|466|0
ID#00028|$2,500|$15,000|$20,200|HomeImp||18|0|0|19|136.1|1||465|1
ID#00029|$2,500|$25,116|$36,350|HomeImp|Other|10|1|2|9|277|0||321|1
ID#00030|$2,500|$7,229|$44,516|HomeImp|Self||0|0|12|208|0||455|0
ID#00031|$2,500|$71,408|$78,600|HomeImp|ProfExe|8|0|0|12|255.7|0||505|0
ID#00032|$2,800|$50,795|$63,100|HomeImp|Self|26|2|15|45|145.6|3|||1
ID#00033|$2,800|$4,000|$60,850|HomeImp|Other|16|4|0|9|112.6|2||203|1
ID#00034|$2,900|$78,600|$113,000|DebtCon|ProfExe|6|1|0|26|165.3|2||349|1
ID#00035|$2,900|$103,949|$112,505|HomeImp|Office|1|0|0|13|96.1|0|30.1|464|0
ID#00036|$2,900|$104,373|$120,702|HomeImp|Office|2|0|0|13|101.5|0|29.9|468|0
ID#00037|$2,900|$7,750|$67,996|HomeImp|Other|16|3|0|8|122.2|2|36.2|252|1
ID#00038|$2,900|$61,962|$70,915|DebtCon|Mgr|2|0|0|37|282.8|3|49.2|371|1
ID#00039|$3,000|$104,570|$121,729|HomeImp|Office|2|0|0|14|85.9|0|32.1|444|0
ID#00040|$3,000|$7,000|$20,300|HomeImp|Other|3|0|0|9|50.8|5||324|1
ID#00041|$3,000||$8,800|HomeImp|Other|2|0|1|3|77.8|0||332|1
ID#00042|$3,000||$33,000|HomeImp|Other|1|0|1|2|23.3|1||295|1
ID#00043|$3,000|$119,826|$193,500|HomeImp|Other|8|0|0|27|130|0||444|1
ID#00044|$3,000|$20,000|$29,750|DebtCon|Other|2|0|0|12|187.1|0||431|1
ID#00045|$3,000||$14,500|HomeImp|Other|3|0|0|2|9.3|14||186|1
ID#00046|$3,000||$14,100|HomeImp|Other|1|0|0|19|104.2|0||422|1
ID#00047|$3,000|$47,000|$82,700|HomeImp|ProfExe|10|0|1|26|262.2|5||394|1
ID#00048|$3,000|$34,542|$45,900|HomeImp|Mgr|8.5|0|2|10|62.4|0||228|1
ID#00049|$3,000|$58,000|$71,500|HomeImp|Mgr|10||2|25|211.9|0||400|0
ID#00050|$3,000|$47,000|$56,400|HomeImp|Office|21|0|0|20|201.9|0||467|0
ID#00051|$3,100|$39,589|$36,100|HomeImp|Other|1.5|0|0|14|153.2|1||423|1
ID#00052|$3,100||$70,400||||||||||501|0
ID#00053|$3,200|$67,848|$74,566|HomeImp|Mgr|10||1|25|206.4|0|40.1|383|0
ID#00054|$3,200|$48,603|$61,000|HomeImp|ProfExe|28|0|4|25|122|1||213|1
ID#00055|$3,200|$27,200|$40,834|HomeImp|Other||0|0|7|298.1|0|35.6|493|1
ID#00056|$3,200|$54,000|$64,850|HomeImp|Other|1|0|0|21|121.9|3||396|1
ID#00057|$3,200|$74,864|$87,266|HomeImp|ProfExe|7|0|0|12|250.6|0|42.9|415|0
ID#00058|$3,200|$23,159||HomeImp|Mgr|20||2|9|117.8|0|0.5|617|1
ID#00059|$3,300|$126,541|$134,527|HomeImp|Sales|9|1|0|36|139|0||509|1
ID#00060|$3,300|$130,518|$164,317|DebtCon|Other|9|0|6|33|192.3|0|35.7|144|1
ID#00061|$3,400|$37,000|$52,000|HomeImp|Office|2|0|1|6|183.3|0||382|1
ID#00062|$3,500|$23,200|$38,666|HomeImp|Other|11|0|0|14|162.4|0||440|1
ID#00063|$3,500|$19,400|$20,494|HomeImp|Other|5|0|0|9|95.9|0||405|1
ID#00064|$3,600|$61,584|$61,800|HomeImp|ProfExe|10|||||||445|1
ID#00065|$3,600|$41,900|$52,490|HomeImp|Mgr|3|0|0|4|72|2||313|1
ID#00066|$3,600|$83,700|$111,800|HomeImp|ProfExe|6|0|0|28|192.7|1||490|0
ID#00067|$3,600|$61,327|$76,484|HomeImp|Mgr|9||2|25|202.5|0|41.5|313|0
ID#00068|$3,600|$100,693|$114,743|HomeImp|Office|6|0|0|14|88.5|0|29.4|470|0
ID#00069|$3,600|$48,507|$61,000|DebtCon|Office|13|1|4|17|97.4|0||119|1
ID#00070|$3,600|$52,337|$63,989|HomeImp|Office|20|0|0|20|204.3|0|20.5|606|0
ID#00071|$3,700|$17,857|$21,144|HomeImp|Other|5|0|0|9|129.7|1|26.6|492|1
ID#00072|$3,800|$19,135|$97,692|HomeImp|Mgr|1.6|1|6|25|252.6|1||0|1
ID#00073|$3,800|$51,180|$63,459|HomeImp|Office|20|0|0|20|203.8|0|20.1|610|0
ID#00074|$3,800||$73,189|||||||||22.3|522|0
ID#00075|$3,800|$11,543|$46,045|HomeImp|Self||0|0|11|204.6|0|42.2|402|0
ID#00076|$3,900|$29,896|$45,960|HomeImp|Other|11|0|0|14|146.1|0|24.5|538|1
ID#00077|$3,900|$14,500|$22,092|HomeImp|Other|3.5|0|1|8|150.3|5||310|1
ID#00078|$3,900|$52,825|$63,000|DebtCon|ProfExe|8|0|4|31|171.7|1||257|0
ID#00079|$3,900|$102,143|$118,742|HomeImp|Office|2|0|0|13|85.3|0|29.3|468|0
ID#00080|$3,900|$21,200|$39,000|DebtCon|Mgr|4|0|1|14|86.6|2||312|1
ID#00081|$4,000|$105,164|$112,774|HomeImp|Office|1|0|0|13|94.7|0|29.4|471|0
ID#00082|$4,000|$54,543|$61,777|HomeImp|Office|21|0|0|19|205.6|0|21.8|594|0
ID#00083|$4,000||$80,609|HomeImp|Other|1.5|0|2|12|126.5|3||273|1
ID#00084|$4,000|$26,572|$31,960|HomeImp|Office|11|0|0|8|117.8|0|41.3|369|1
ID#00085|$4,000|$17,000|$52,012|HomeImp|ProfExe|22|3|1|9|85.3|1||208|1
ID#00086|$4,000|$29,562|$37,200|DebtCon|Other|6|0|0|26|92.1|1||400|1
ID#00087|$4,000|$41,700|$76,725|HomeImp|Other|0.5|0|3|15|136.1|0||262|1
ID#00088|$4,000|$58,000|$69,440|HomeImp|Other|3.5|0|1|18|168.7|0||393|1
ID#00089|$4,000|$5,700|$18,000|DebtCon|Other||0|0|17|12.2|0||366|1
ID#00090|$4,000|$45,000|$58,350|HomeImp|Mgr|3.5|0|0|16|162|3||356|1
